case_id,input_file,region,language,sw_i_step,template
HIST-SYN-001,knowledge/dummy_cases/txt/IN/en-IN/24-10-227/Prod_Diagnostic_Extended_SYN_001.txt,IN,en-IN,24-10-227,001
HIST-SYN-002,knowledge/dummy_cases/txt/NA/en-US/24-10-227/Prod_Diagnostic_Extended_SYN_002.txt,NA,en-US,24-10-227,002
HIST-SYN-003,knowledge/dummy_cases/txt/EU-DE/de/24-10-227/Prod_Diagnostic_Extended_SYN_003.txt,EU-DE,de,24-10-227,001
HIST-SYN-004,knowledge/dummy_cases/txt/EU-FR/fr/24-10-227/Prod_Diagnostic_Extended_SYN_004.txt,EU-FR,fr,24-10-227,002
HIST-SYN-005,knowledge/dummy_cases/txt/LATAM/es/24-10-227/Prod_Diagnostic_Extended_SYN_005.txt,LATAM,es,24-10-227,001
HIST-SYN-006,knowledge/dummy_cases/txt/BR/pt-BR/24-10-227/Prod_Diagnostic_Extended_SYN_006.txt,BR,pt-BR,24-10-227,002
HIST-SYN-007,knowledge/dummy_cases/txt/EU-IT/it/24-10-227/Prod_Diagnostic_Extended_SYN_007.txt,EU-IT,it,24-10-227,001
HIST-SYN-008,knowledge/dummy_cases/txt/EU-PL/pl/24-10-227/Prod_Diagnostic_Extended_SYN_008.txt,EU-PL,pl,24-10-227,002
HIST-SYN-009,knowledge/dummy_cases/txt/IN-HI/hi/24-10-227/Prod_Diagnostic_Extended_SYN_009.txt,IN-HI,hi,24-10-227,001
HIST-SYN-010,knowledge/dummy_cases/txt/JP/ja/24-10-227/Prod_Diagnostic_Extended_SYN_010.txt,JP,ja,24-10-227,002
HIST-SYN-011,knowledge/dummy_cases/txt/KR/ko/24-10-227/Prod_Diagnostic_Extended_SYN_011.txt,KR,ko,24-10-227,001
HIST-SYN-012,knowledge/dummy_cases/txt/CN/zh-Hans/24-10-227/Prod_Diagnostic_Extended_SYN_012.txt,CN,zh-Hans,24-10-227,002
HIST-SYN-013,knowledge/dummy_cases/txt/IN/en-IN/24-10-227/Prod_Diagnostic_Extended_SYN_013.txt,IN,en-IN,24-10-227,001
HIST-SYN-014,knowledge/dummy_cases/txt/NA/en-US/24-10-227/Prod_Diagnostic_Extended_SYN_014.txt,NA,en-US,24-10-227,002
