EventDate,FaultCategory,ECUCount,DTCCount,ECUs,DTCs
2026-05-10,Communication,9,17,"ADAS, BCM, BMS, EPS, GW, HVAC, OBC, RADAR, TCM","0X27D2, 0X2DD7, 0X30BC, 0X3DD9, 0X4455, 0X4D5C, 0X6B12, 0X7287, 0X792A, 0X8589, 0X9774, 0X9CEB, 0XB61B, 0XB89A, 0XD359, 0XEA33, 0XEC1B"
2026-05-12,Performance,9,14,"ADAS, BCM, ECM, FCAM, HVAC, OBC, RADAR, SRS, TCM","0X16E2, 0X23D3, 0X50EE, 0X6F71, 0X7541, 0X7F74, 0X98C6, 0X9BAE, 0X9F43, 0XA1AE, 0XB197, 0XC9D5, 0XE83E, 0XEF02"
2026-05-09,ECU Specific/Other,8,14,"ABS, ADAS, BCM, ECM, FCAM, OBC, RADAR, TCM","0X1766, 0X3C3D, 0X45EC, 0X5844, 0X58E9, 0X6663, 0XA270, 0XB849, 0XBB19, 0XCEF5, 0XE270, 0XF10A, 0XF582, 0XFEA0"
2026-05-01,Voltage,11,13,"ADAS, BCM, BMS, ECM, EPS, FCAM, GW, OBC, RADAR, SRS, TCM","0X1342, 0X26CC, 0X39A3, 0X4332, 0X5DBB, 0X8CFC, 0X8ECA, 0XB898, 0XBDFC, 0XC73F, 0XD243, 0XE72B, 0XFCFE"
2026-05-13,Voltage,11,13,"ABS, ADAS, BCM, BMS, EPS, FCAM, GW, HVAC, RADAR, SRS, TCM","0X1328, 0X2C54, 0X494A, 0X5AFF, 0X5DFE, 0X765E, 0X7F88, 0X94FC, 0XC11A, 0XC68E, 0XCF56, 0XF1FA, 0XF664"
2026-05-16,Voltage,10,13,"ABS, ADAS, ECM, EPS, FCAM, GW, OBC, RADAR, TCM, TCU","0X1153, 0X2437, 0X3775, 0X3804, 0X7592, 0X790A, 0X8AB3, 0X9A14, 0XAD42, 0XB5B4, 0XD314, 0XD84A, 0XF0BD"
2026-05-13,ECU Specific/Other,9,13,"ABS, BCM, ECM, EPS, FCAM, HVAC, OBC, SRS, TCU","0X22EF, 0X2F84, 0X32BD, 0X4F77, 0X6E5B, 0X7193, 0X7B2D, 0XA29D, 0XA8B6, 0XC0B8, 0XF200, 0XF706, 0XFA45"
2026-05-13,Sensor,9,13,"BCM, BMS, ECM, EPS, GW, HVAC, OBC, SRS, TCM","0X1136, 0X27DC, 0X2DF0, 0X3550, 0X3976, 0X3DE6, 0X49F9, 0X78C1, 0XAABC, 0XBD8C, 0XDD04, 0XED9D, 0XEE9E"
2026-05-24,Sensor,9,13,"ABS, BCM, ECM, FCAM, GW, OBC, RADAR, SRS, TCU","0X132A, 0X19CB, 0X27F4, 0X2B59, 0X5D9D, 0X5EDE, 0X6761, 0XB2CF, 0XB789, 0XC24A, 0XCBE7, 0XE499, 0XE5A7"
2026-05-28,Voltage,9,13,"ABS, BCM, BMS, ECM, FCAM, GW, HVAC, OBC, TCU","0X176A, 0X1E18, 0X2FBC, 0X3BBB, 0X480C, 0X544D, 0X5DFB, 0X7D22, 0X9430, 0XB81F, 0XBBAC, 0XC62E, 0XDD2B"
