FileName,SW_I_Step,ECUName,DTCCode,Description,FaultCategory,Status,OccurrenceCounter,AgingCounter,Priority,EventTimestamp,RiskScore,RSSI,GPS_Status,Network_Type,Speed,Voltage,CAN_Load,Eth_Status,Bus_Errors,Ignition,RPM,Coolant_Temp,Fuel_Pressure,Boost_Pressure,Engine_Load,AC_Voltage,Charge_Current,Battery_Temp,SOC,Input_Freq,Battery_Voltage,Door_Status,Lock_State,Window_Pos,Lane_Confidence,Visibility,Image_Quality,Light_Level,Cabin_Temp,Blower_Speed,Evap_Temp,Ambient_Temp,AC_Pressure,Gear,Oil_Temp,Turbine_Speed,Clutch_Pressure,Output_Speed,CPU_Load,Lane_State,Object_Count,Steering_Angle,Driver_Torque,Motor_Current,Supply_Voltage,Wheel_FL,Wheel_FR,Brake_Pressure,Yaw_Rate,Vehicle_Speed,Target_Distance,Relative_Speed,Temperature,SOH,HV_Voltage,Cell_Temp_Max,Cell_Temp_Min,Seat_Occupancy,Crash_Counter,Belt_Status
Prod_Diagnostic_01.txt,24-07-510,TCU,0X9026,Sensor range fault,Sensor,Active,33,3,3,2026-05-27 20:32:00,393,624.0,204.0,157.0,383.0,781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,TCU,0X9A14,Voltage fault,Voltage,Intermittent,1,19,3,2026-05-16 00:07:00,261,952.0,372.0,900.0,852.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,TCU,0X4D4C,Sensor range fault,Sensor,Active,16,18,1,2026-05-03 23:31:00,336,836.0,71.0,779.0,546.0,785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,TCU,0X30DE,Voltage fault,Voltage,Intermittent,31,17,2,2026-05-09 16:55:00,271,622.0,434.0,988.0,217.0,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,TCU,0XD159,TCU performance issue 5,Performance,Intermittent,45,6,3,2026-05-13 21:41:00,305,383.0,449.0,922.0,530.0,463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,GW,0X4F76,Communication fault,Communication,Active,5,10,1,2026-05-19 17:14:00,325,,,,,8.0,603.0,226.0,73.0,725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,GW,0X4A9B,Communication fault,Communication,Active,3,10,1,2026-05-17 07:17:00,323,,,,,220.0,686.0,498.0,553.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,GW,0XA382,GW performance issue 3,Performance,Stored,16,15,4,2026-05-07 03:06:00,196,,,,,363.0,675.0,442.0,434.0,421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,GW,0XED24,GW specific fault 4,ECU Specific/Other,Intermittent,4,20,1,2026-05-02 12:46:00,224,,,,,883.0,348.0,820.0,112.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod_Diagnostic_01.txt,24-07-510,GW,0X40B1,Voltage fault,Voltage,Intermittent,29,4,4,2026-05-06 08:29:00,309,,,,,946.0,256.0,896.0,78.0,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
