FileName,SW_I_Step,ECUName,HardwareVersion,BootloaderVersion,SWVersion,Coding
Prod_Diagnostic_01.txt,24-07-510,TCU,877.925.263,7.53.384,24.3.881,444.204.194
Prod_Diagnostic_01.txt,24-07-510,GW,489.199.467,6.87.370,24.7.649,227.487.180
Prod_Diagnostic_01.txt,24-07-510,ECM,665.400.949,6.83.296,26.1.146,777.333.891
Prod_Diagnostic_01.txt,24-07-510,OBC,396.181.975,4.22.489,25.7.750,954.473.266
Prod_Diagnostic_01.txt,24-07-510,BCM,479.463.314,5.99.799,26.1.723,750.275.646
Prod_Diagnostic_01.txt,24-07-510,FCAM,846.350.267,8.58.376,26.8.324,801.432.963
Prod_Diagnostic_01.txt,24-07-510,HVAC,886.894.157,4.14.924,25.6.374,167.316.680
Prod_Diagnostic_01.txt,24-07-510,TCM,997.835.422,4.93.611,25.7.246,371.242.352
Prod_Diagnostic_01.txt,24-07-510,ADAS,862.674.651,5.84.538,26.6.470,324.241.621
Prod_Diagnostic_01.txt,24-07-510,EPS,605.193.873,1.24.256,26.2.911,796.532.710
Prod_Diagnostic_01.txt,24-07-510,ABS,165.494.490,8.77.357,26.0.796,838.217.798
Prod_Diagnostic_01.txt,24-07-510,RADAR,649.868.373,6.24.400,25.2.564,103.839.996
Prod_Diagnostic_02.txt,24-07-510,BCM,229.753.989,8.23.993,24.9.391,580.590.551
Prod_Diagnostic_02.txt,24-07-510,BMS,448.288.152,5.71.216,24.6.603,175.690.744
Prod_Diagnostic_02.txt,24-07-510,ABS,802.154.255,3.82.411,24.3.221,671.882.526
Prod_Diagnostic_02.txt,24-07-510,EPS,720.710.909,4.76.489,25.7.404,980.702.539
Prod_Diagnostic_02.txt,24-07-510,ECM,412.682.735,1.88.857,24.3.740,316.370.776
Prod_Diagnostic_02.txt,24-07-510,TCU,183.260.345,3.80.176,24.0.518,561.805.708
Prod_Diagnostic_02.txt,24-07-510,RADAR,581.398.133,4.46.823,25.7.172,803.339.370
Prod_Diagnostic_02.txt,24-07-510,SRS,906.910.740,4.64.217,26.3.763,252.372.946
Prod_Diagnostic_02.txt,24-07-510,GW,245.173.161,3.49.709,26.9.395,549.227.579
Prod_Diagnostic_02.txt,24-07-510,ADAS,805.411.816,7.44.612,26.7.548,182.712.140
Prod_Diagnostic_02.txt,24-07-510,HVAC,542.852.430,5.13.193,24.9.701,121.883.788
Prod_Diagnostic_02.txt,24-07-510,OBC,941.375.690,1.32.581,26.7.384,285.699.546
Prod_Diagnostic_03.txt,25-11-601,RADAR,481.389.496,7.53.795,26.0.908,746.762.442
Prod_Diagnostic_03.txt,25-11-601,TCM,167.437.196,7.46.358,26.9.994,253.441.183
Prod_Diagnostic_03.txt,25-11-601,TCU,696.779.244,6.49.771,26.6.232,709.825.186
Prod_Diagnostic_03.txt,25-11-601,FCAM,417.672.485,6.26.786,26.8.195,761.786.533
Prod_Diagnostic_03.txt,25-11-601,ABS,620.470.118,6.49.284,24.5.884,597.296.331
Prod_Diagnostic_03.txt,25-11-601,ECM,240.258.179,5.22.619,26.8.138,777.444.997
Prod_Diagnostic_03.txt,25-11-601,BCM,884.732.234,7.29.266,24.9.928,269.838.548
Prod_Diagnostic_03.txt,25-11-601,BMS,144.520.473,4.66.725,25.7.339,646.344.416
Prod_Diagnostic_03.txt,25-11-601,SRS,928.903.580,4.57.794,26.7.572,887.388.896
Prod_Diagnostic_03.txt,25-11-601,HVAC,491.614.640,7.30.936,24.9.241,993.356.153
Prod_Diagnostic_03.txt,25-11-601,ADAS,756.592.995,6.80.205,26.8.971,227.391.185
Prod_Diagnostic_03.txt,25-11-601,EPS,881.264.379,8.75.250,25.1.327,936.561.457
Prod_Diagnostic_04.txt,24-07-510,ABS,796.872.710,2.77.557,26.5.179,677.214.163
Prod_Diagnostic_04.txt,24-07-510,SRS,948.660.617,4.83.649,24.2.435,974.632.552
Prod_Diagnostic_04.txt,24-07-510,OBC,219.796.310,8.21.622,25.0.564,235.625.525
Prod_Diagnostic_04.txt,24-07-510,ADAS,567.677.159,8.96.926,25.0.505,360.936.103
Prod_Diagnostic_04.txt,24-07-510,GW,863.323.692,2.15.533,25.1.654,161.170.583
Prod_Diagnostic_04.txt,24-07-510,BMS,132.393.518,3.27.884,26.6.483,491.559.990
Prod_Diagnostic_04.txt,24-07-510,HVAC,486.484.182,3.93.980,25.1.282,650.502.641
Prod_Diagnostic_04.txt,24-07-510,TCU,230.845.328,1.12.405,25.8.534,644.488.943
Prod_Diagnostic_04.txt,24-07-510,EPS,335.353.571,6.29.382,24.1.132,928.776.529
Prod_Diagnostic_04.txt,24-07-510,BCM,729.884.116,4.36.168,24.9.134,557.712.788
Prod_Diagnostic_04.txt,24-07-510,TCM,820.993.149,4.15.511,25.3.652,322.872.984
Prod_Diagnostic_04.txt,24-07-510,ECM,894.157.243,5.39.935,26.9.426,691.712.891
Prod_Diagnostic_05.txt,24-07-510,ADAS,691.233.679,8.53.798,24.0.201,741.902.956
Prod_Diagnostic_05.txt,24-07-510,TCU,570.116.227,3.66.567,24.6.307,805.235.765
Prod_Diagnostic_05.txt,24-07-510,HVAC,409.262.995,5.21.770,25.4.184,480.780.764
Prod_Diagnostic_05.txt,24-07-510,BCM,269.153.505,5.99.873,24.6.771,193.820.197
Prod_Diagnostic_05.txt,24-07-510,RADAR,101.318.588,2.26.707,24.8.796,555.109.108
Prod_Diagnostic_05.txt,24-07-510,FCAM,812.451.936,2.64.810,24.7.172,334.492.191
Prod_Diagnostic_05.txt,24-07-510,SRS,848.925.204,2.50.476,25.2.491,892.932.871
Prod_Diagnostic_05.txt,24-07-510,ABS,995.236.756,3.18.643,26.0.724,765.268.550
Prod_Diagnostic_05.txt,24-07-510,GW,459.839.318,3.62.730,26.7.980,322.188.202
Prod_Diagnostic_05.txt,24-07-510,BMS,243.870.226,7.54.539,25.2.353,383.760.186
Prod_Diagnostic_05.txt,24-07-510,EPS,354.666.715,5.98.127,26.4.310,630.721.621
Prod_Diagnostic_05.txt,24-07-510,OBC,293.865.501,5.92.155,24.7.495,215.346.611
Prod_Diagnostic_06.txt,26-07-540,BCM,418.826.618,7.27.899,26.9.129,277.297.996
Prod_Diagnostic_06.txt,26-07-540,SRS,952.305.957,1.41.133,25.0.469,821.303.380
