FileName,FilePath,SW_I_Step,SA_Codes
Prod_Diagnostic_01.txt,input\diagnostic_reports\Prod_Diagnostic_01.txt,24-07-510,A X I H W E D R | C S N B A Z G H
Prod_Diagnostic_02.txt,input\diagnostic_reports\Prod_Diagnostic_02.txt,24-07-510,X R W F G V P I | X S Q T J D G V
Prod_Diagnostic_03.txt,input\diagnostic_reports\Prod_Diagnostic_03.txt,25-11-601,O S R B Z Y G K | T P Q E B O D K
Prod_Diagnostic_04.txt,input\diagnostic_reports\Prod_Diagnostic_04.txt,24-07-510,V D O J F M Q W | W D U J L T H X
Prod_Diagnostic_05.txt,input\diagnostic_reports\Prod_Diagnostic_05.txt,24-07-510,M Q X I L O P K | S A X C O U L W
Prod_Diagnostic_06.txt,input\diagnostic_reports\Prod_Diagnostic_06.txt,26-07-540,J I P W V D H E | J X O K I N T C
Prod_Diagnostic_07.txt,input\diagnostic_reports\Prod_Diagnostic_07.txt,25-11-601,V D R A U T C S | B W C L Q D J T
Prod_Diagnostic_08.txt,input\diagnostic_reports\Prod_Diagnostic_08.txt,25-11-601,T O I W Z P G K | A E B R Z F D J
Prod_Diagnostic_09.txt,input\diagnostic_reports\Prod_Diagnostic_09.txt,24-07-510,D A O U Z G T N | N B K L R U G A
Prod_Diagnostic_10.txt,input\diagnostic_reports\Prod_Diagnostic_10.txt,25-03-420,G D Q Y T L R X | H O U V G I B W
Prod_Diagnostic_11.txt,input\diagnostic_reports\Prod_Diagnostic_11.txt,25-11-601,L B V H W X J S | C W Z J D K F A
Prod_Diagnostic_12.txt,input\diagnostic_reports\Prod_Diagnostic_12.txt,24-07-510,R B Q D F U W G | L F X J O Q P D
Prod_Diagnostic_13.txt,input\diagnostic_reports\Prod_Diagnostic_13.txt,25-03-420,Q M U Z L P W O | F K W L Q P U T
Prod_Diagnostic_14.txt,input\diagnostic_reports\Prod_Diagnostic_14.txt,24-07-510,V E R U P C K H | S Y T C U K M X
Prod_Diagnostic_15.txt,input\diagnostic_reports\Prod_Diagnostic_15.txt,25-11-601,C P F O X V G S | P X F U J A V Y
Prod_Diagnostic_16.txt,input\diagnostic_reports\Prod_Diagnostic_16.txt,25-03-420,X P N O Z T I K | T D Z M N G S L
Prod_Diagnostic_17.txt,input\diagnostic_reports\Prod_Diagnostic_17.txt,26-07-540,Y V B H P C S X | L C N T W Y R P
Prod_Diagnostic_18.txt,input\diagnostic_reports\Prod_Diagnostic_18.txt,25-03-420,B K W S T N A I | W G R P X Z K H
Prod_Diagnostic_19.txt,input\diagnostic_reports\Prod_Diagnostic_19.txt,24-07-510,T S X N A K Z H | F S U P V C L A
Prod_Diagnostic_20.txt,input\diagnostic_reports\Prod_Diagnostic_20.txt,25-03-420,M Q G E V H A X | X Z L Q T E S W
