ECUName,DTCCount,UniqueDTCs,ActiveCount,StoredCount,IntermittentCount,TotalOccurrences,AveragePriority,MaxRiskScore
BCM,95,95,39,33,23,2480,2.9473684210526314,442
SRS,95,95,33,29,33,2421,2.968421052631579,450
HVAC,90,90,40,26,24,2319,3.2111111111111112,450
OBC,90,90,26,25,39,2270,3.088888888888889,450
RADAR,90,90,35,27,28,2249,2.922222222222222,450
ECM,90,90,33,18,39,2238,3.1,446
ABS,80,79,21,30,29,2231,3.0875,439
ADAS,85,85,29,24,32,2216,3.0352941176470587,437
GW,85,85,24,30,31,2211,2.835294117647059,440
BMS,80,80,29,25,26,2184,3.15,450
FCAM,80,80,26,27,27,2104,2.6,425
TCU,75,75,15,23,37,2028,3.1466666666666665,429
TCM,85,85,34,23,28,2001,3.2705882352941176,444
EPS,80,80,25,30,25,1776,2.8125,438
